sku,competitor,competitor_price
PO-115A-B2-100-40-2,Competitor1,70.13
PO-115A-B2-100-40-1,Competitor1,92.73
PO-115A-A0-1500-40-4,Competitor1,579.11
PO-115A-A0-1500-40-2,Competitor1,597.09
PO-115A-A0-1500-40-1,Competitor1,674.79
PO-115A-A1-1500-40-4,Competitor1,278.14
PO-115A-A1-1500-40-2,Competitor1,297.14
PO-115A-A1-1500-40-1,Competitor1,342.54
PO-115A-A2-1500-40-4,Competitor1,149.15
PO-115A-A2-1500-40-2,Competitor1,162.15
PO-115A-A2-1500-40-1,Competitor1,192.35
PO-115A-A3-1500-40-4,Competitor1,78.46
PO-115A-A3-1500-40-2,Competitor1,88.46
PO-115A-A3-1500-40-1,Competitor1,111.06
PO-115A-B1-1500-40-4,Competitor1,407.74
PO-115A-B1-1500-40-2,Competitor1,417.5
PO-115A-B1-1500-40-1,Competitor1,464.04
PO-115A-B2-1500-40-4,Competitor1,206.74
PO-115A-B2-1500-40-2,Competitor1,222.74
PO-115A-B2-1500-40-1,Competitor1,260.54
PO-115A-A0-150-40-4,Competitor1,173.76
PO-115A-A0-150-40-2,Competitor1,179.88
PO-115A-A0-150-40-1,Competitor1,203.04
PO-115A-A1-150-40-4,Competitor1,89.25
PO-115A-A1-150-40-2,Competitor1,99.25
PO-115A-A1-150-40-1,Competitor1,121.85
PO-115A-A2-150-40-4,Competitor1,53.54
PO-115A-A2-150-40-2,Competitor1,63.54
PO-115A-A2-150-40-1,Competitor1,86.14
PO-115A-A3-150-40-4,Competitor1,37.01
PO-115A-A3-150-40-2,Competitor1,47.01
PO-115A-A3-150-40-1,Competitor1,69.61
PO-115A-B1-150-40-4,Competitor1,117.54
PO-115A-B1-150-40-2,Competitor1,124.99
PO-115A-B1-150-40-1,Competitor1,148.15
PO-115A-B2-150-40-4,Competitor1,63.7
PO-115A-B2-150-40-2,Competitor1,73.7
PO-115A-B2-150-40-1,Competitor1,96.3
PO-115A-A0-2000-40-4,Competitor1,721.58
PO-115A-A0-2000-40-2,Competitor1,742.33
PO-115A-A0-2000-40-1,Competitor1,835.6
PO-115A-A1-2000-40-4,Competitor1,348.82
PO-115A-A1-2000-40-2,Competitor1,373.82
PO-115A-A1-2000-40-1,Competitor1,434.42
PO-115A-A2-2000-40-4,Competitor1,182.94
PO-115A-A2-2000-40-2,Competitor1,198.94
PO-115A-A2-2000-40-1,Competitor1,236.74
PO-115A-A3-2000-40-4,Competitor1,98.47
PO-115A-A3-2000-40-2,Competitor1,111.47
PO-115A-A3-2000-40-1,Competitor1,141.67
PO-115A-A4-2000-40-5,Competitor1,52.41
PO-115A-A4-2000-40-2,Competitor1,62.41
PO-115A-B1-2000-40-4,Competitor1,522.08
PO-115A-B1-2000-40-2,Competitor1,535.28
PO-115A-B1-2000-40-1,Competitor1,597.39
PO-115A-B2-2000-40-4,Competitor1,251.82
PO-115A-B2-2000-40-2,Competitor1,267.82
PO-115A-B2-2000-40-1,Competitor1,305.62
PO-115A-A0-200-40-4,Competitor1,190.11
PO-115A-A0-200-40-2,Competitor1,195.84
PO-115A-A0-200-40-1,Competitor1,219
PO-115A-A1-200-40-4,Competitor1,94.22
PO-115A-A1-200-40-2,Competitor1,104.22
PO-115A-A1-200-40-1,Competitor1,126.82
PO-115A-A2-200-40-4,Competitor1,56.02
PO-115A-A2-200-40-2,Competitor1,66.02
PO-115A-A2-200-40-1,Competitor1,88.62
PO-115A-A3-200-40-4,Competitor1,37.68
PO-115A-A3-200-40-2,Competitor1,47.68
PO-115A-A3-200-40-1,Competitor1,70.28
PO-115A-B1-200-40-4,Competitor1,128.72
PO-115A-B1-200-40-2,Competitor1,135.9
PO-115A-B1-200-40-1,Competitor1,159.07
PO-115A-B2-200-40-4,Competitor1,69.26
PO-115A-B2-200-40-2,Competitor1,79.26
PO-115A-B2-200-40-1,Competitor1,101.86
PO-115A-A0-2500-40-4,Competitor1,866.55
PO-115A-A0-2500-40-2,Competitor1,893.07
PO-115A-A0-2500-40-1,Competitor1,1009.72
PO-115A-A1-2500-40-4,Competitor1,416.65
PO-115A-A1-2500-40-2,Competitor1,444.65
PO-115A-A1-2500-40-1,Competitor1,512.85
PO-115A-A2-2500-40-4,Competitor1,212.7
PO-115A-A2-2500-40-2,Competitor1,228.7
PO-115A-A2-2500-40-1,Competitor1,266.5
PO-115A-A3-2500-40-4,Competitor1,114.88
PO-115A-A3-2500-40-2,Competitor1,127.88
PO-115A-A3-2500-40-1,Competitor1,158.08
PO-115A-A4-2500-40-5,Competitor1,60.06
PO-115A-A4-2500-40-2,Competitor1,70.06
PO-115A-B1-2500-40-4,Competitor1,636.42
PO-115A-B1-2500-40-2,Competitor1,653.04
PO-115A-B1-2500-40-1,Competitor1,730.73
PO-115A-B2-2500-40-4,Competitor1,306
PO-115A-B2-2500-40-2,Competitor1,325
PO-115A-B2-2500-40-1,Competitor1,370.4
PO-115A-A0-250-40-4,Competitor1,213.95
PO-115A-A0-250-40-2,Competitor1,222.18
PO-115A-A0-250-40-1,Competitor1,253.13
PO-115A-A1-250-40-4,Competitor1,102.39
PO-115A-A1-250-40-2,Competitor1,112.39
PO-115A-A1-250-40-1,Competitor1,134.99
PO-115A-A2-250-40-4,Competitor1,59.93
PO-115A-A2-250-40-2,Competitor1,69.93
PO-115A-A2-250-40-1,Competitor1,92.53
PO-115A-A3-250-40-4,Competitor1,39.48
PO-115A-A3-250-40-2,Competitor1,49.48
PO-115A-A3-250-40-1,Competitor1,72.08
PO-115A-A4-250-40-5,Competitor1,26.2
PO-115A-A4-250-40-2,Competitor1,36.2
PO-115A-B1-250-40-4,Competitor1,142.12
PO-115A-B1-250-40-2,Competitor1,148.98
PO-115A-B1-250-40-1,Competitor1,172.15
PO-115A-B2-250-40-4,Competitor1,74.55
PO-115A-B2-250-40-2,Competitor1,84.55
PO-115A-B2-250-40-1,Competitor1,107.15
PO-115A-A0-3000-40-4,Competitor1,968.68
PO-115A-A0-3000-40-2,Competitor1,998.91
PO-115A-A0-3000-40-1,Competitor1,1131.14
PO-115A-A1-3000-40-4,Competitor1,497.58
PO-115A-A1-3000-40-2,Competitor1,531.58
PO-115A-A1-3000-40-1,Competitor1,614.98
PO-115A-A2-3000-40-4,Competitor1,252.87
PO-115A-A2-3000-40-2,Competitor1,271.87
PO-115A-A2-3000-40-1,Competitor1,317.27
PO-115A-A3-3000-40-4,Competitor1,131.47
PO-115A-A3-3000-40-2,Competitor1,144.47
PO-115A-A3-3000-40-1,Competitor1,174.67
PO-115A-B1-3000-40-4,Competitor1,740.05
PO-115A-B1-3000-40-2,Competitor1,766.51
PO-115A-B1-3000-40-1,Competitor1,875.36
PO-115A-B2-3000-40-4,Competitor1,346.08
PO-115A-B2-3000-40-2,Competitor1,368.08
PO-115A-B2-3000-40-1,Competitor1,421.08
PO-115A-A0-300-40-4,Competitor1,222.46
PO-115A-A0-300-40-2,Competitor1,230.49
PO-115A-A0-300-40-1,Competitor1,261.45
PO-115A-A1-300-40-4,Competitor1,106.47
PO-115A-A1-300-40-2,Competitor1,116.47
PO-115A-A1-300-40-1,Competitor1,139.07
PO-115A-A2-300-40-4,Competitor1,62.06
PO-115A-A2-300-40-2,Competitor1,72.06
PO-115A-A2-300-40-1,Competitor1,94.66
PO-115A-A3-300-40-4,Competitor1,41.27
PO-115A-A3-300-40-2,Competitor1,51.27
PO-115A-A3-300-40-1,Competitor1,73.87
PO-115A-B1-300-40-4,Competitor1,148.26
PO-115A-B1-300-40-2,Competitor1,154.98
PO-115A-B1-300-40-1,Competitor1,178.15
PO-115A-B2-300-40-4,Competitor1,77.54
PO-115A-B2-300-40-2,Competitor1,87.54
PO-115A-B2-300-40-1,Competitor1,110.14
PO-115A-A0-4000-40-4,Competitor1,1249.59
PO-115A-A0-4000-40-2,Competitor1,1288.52
PO-115A-A0-4000-40-1,Competitor1,1459.69
PO-115A-A1-4000-40-4,Competitor1,640.17
PO-115A-A1-4000-40-2,Competitor1,680.17
PO-115A-A1-4000-40-1,Competitor1,778.77
PO-115A-A2-4000-40-4,Competitor1,333.2
PO-115A-A2-4000-40-2,Competitor1,358.2
PO-115A-A2-4000-40-1,Competitor1,418.8
PO-115A-A3-4000-40-4,Competitor1,162.42
PO-115A-A3-4000-40-2,Competitor1,175.42
PO-115A-A3-4000-40-1,Competitor1,205.62
PO-115A-B1-4000-40-4,Competitor1,952.31
PO-115A-B1-4000-40-2,Competitor1,986.01
PO-115A-B1-4000-40-1,Competitor1,1126.02
PO-115A-B2-4000-40-4,Competitor1,437.79
PO-115A-B2-4000-40-2,Competitor1,462.79
PO-115A-B2-4000-40-1,Competitor1,523.39
PO-115A-A0-400-40-4,Competitor1,243.65
PO-115A-A0-400-40-2,Competitor1,251.18
PO-115A-A0-400-40-1,Competitor1,282.13
PO-115A-A1-400-40-4,Competitor1,121.94
PO-115A-A1-400-40-2,Competitor1,131.94
PO-115A-A1-400-40-1,Competitor1,154.54
PO-115A-A2-400-40-4,Competitor1,68.67
PO-115A-A2-400-40-2,Competitor1,78.67
PO-115A-A2-400-40-1,Competitor1,101.27
PO-115A-A3-400-40-4,Competitor1,43.62
PO-115A-A3-400-40-2,Competitor1,53.62
PO-115A-A3-400-40-1,Competitor1,76.22
PO-115A-B1-400-40-4,Competitor1,173.95
PO-115A-B1-400-40-2,Competitor1,183.14
PO-115A-B1-400-40-1,Competitor1,214.09
PO-115A-B2-400-40-4,Competitor1,84.65
PO-115A-B2-400-40-2,Competitor1,94.65
PO-115A-B2-400-40-1,Competitor1,117.25
PO-115A-A0-5000-40-4,Competitor1,1518.11
PO-115A-A0-5000-40-2,Competitor1,1566.02
PO-115A-A0-5000-40-1,Competitor1,1781.27
PO-115A-A1-5000-40-4,Competitor1,766.47
PO-115A-A1-5000-40-2,Competitor1,815.47
PO-115A-A1-5000-40-1,Competitor1,941.87
PO-115A-A2-5000-40-4,Competitor1,390.34
PO-115A-A2-5000-40-2,Competitor1,418.34
PO-115A-A2-5000-40-1,Competitor1,491.54
PO-115A-A3-5000-40-4,Competitor1,201.19
PO-115A-A3-5000-40-2,Competitor1,217.19
PO-115A-A3-5000-40-1,Competitor1,259.99
PO-115A-A4-5000-40-5,Competitor1,109.17
PO-115A-A4-5000-40-2,Competitor1,122.17
PO-115A-B1-5000-40-4,Competitor1,1172.02
PO-115A-B1-5000-40-2,Competitor1,1212.79
PO-115A-B1-5000-40-1,Competitor1,1389.09
PO-115A-B2-5000-40-4,Competitor1,541.19
PO-115A-B2-5000-40-2,Competitor1,572.19
PO-115A-B2-5000-40-1,Competitor1,652.99
PO-115A-A0-500-40-4,Competitor1,272.37
PO-115A-A0-500-40-2,Competitor1,282.29
PO-115A-A0-500-40-1,Competitor1,321.03
PO-115A-A1-500-40-4,Competitor1,134.04
PO-115A-A1-500-40-2,Competitor1,144.04
PO-115A-A1-500-40-1,Competitor1,166.64
PO-115A-A2-500-40-4,Competitor1,74.95
PO-115A-A2-500-40-2,Competitor1,84.95
PO-115A-A2-500-40-1,Competitor1,107.55
PO-115A-A3-500-40-4,Competitor1,45.51
PO-115A-A3-500-40-2,Competitor1,55.51
PO-115A-A3-500-40-1,Competitor1,78.11
PO-115A-A4-500-40-5,Competitor1,31.23
PO-115A-A4-500-40-2,Competitor1,41.23
PO-115A-B1-500-40-4,Competitor1,188.45
PO-115A-B1-500-40-2,Competitor1,197.29
PO-115A-B1-500-40-1,Competitor1,228.25
PO-115A-B2-500-40-4,Competitor1,92.83
PO-115A-B2-500-40-2,Competitor1,102.83
PO-115A-B2-500-40-1,Competitor1,125.43
PO-115A-A0-50-40-4,Competitor1,145.34
PO-115A-A0-50-40-2,Competitor1,152.13
PO-115A-A0-50-40-1,Competitor1,175.3
PO-115A-A1-50-40-4,Competitor1,77.15
PO-115A-A1-50-40-2,Competitor1,87.15
PO-115A-A1-50-40-1,Competitor1,109.75
PO-115A-A2-50-40-4,Competitor1,46.59
PO-115A-A2-50-40-2,Competitor1,56.59
PO-115A-A2-50-40-1,Competitor1,79.19
PO-115A-A3-50-40-4,Competitor1,31.09
PO-115A-A3-50-40-2,Competitor1,41.09
PO-115A-A3-50-40-1,Competitor1,63.69
PO-115A-B1-50-40-4,Competitor1,100.62
PO-115A-B1-50-40-2,Competitor1,108.48
PO-115A-B1-50-40-1,Competitor1,131.64
PO-115A-B2-50-40-4,Competitor1,54.65
PO-115A-B2-50-40-2,Competitor1,64.65
PO-115A-B2-50-40-1,Competitor1,87.25
PO-115A-A0-600-40-9,Competitor1,333.06
PO-115A-A1-600-40-5,Competitor1,152.74
PO-115A-A1-600-40-2,Competitor1,165.74
PO-115A-A2-600-40-5,Competitor1,86.03
PO-115A-A2-600-40-2,Competitor1,96.03
PO-115A-A3-600-40-5,Competitor1,47.71
PO-115A-A3-600-40-2,Competitor1,57.71
PO-115A-B1-600-40-6,Competitor1,227.1
PO-115A-B2-600-40-5,Competitor1,111.36
PO-115A-B2-600-40-2,Competitor1,121.36
PO-115A-A0-7000-40-9,Competitor1,2075.45
PO-115A-A1-7000-40-5,Competitor1,1059.9
PO-115A-A1-7000-40-2,Competitor1,1126.9
PO-115A-A2-7000-40-5,Competitor1,535.88
PO-115A-A2-7000-40-2,Competitor1,572.88
PO-115A-A3-7000-40-5,Competitor1,272.81
PO-115A-A3-7000-40-2,Competitor1,291.81
PO-115A-B1-7000-40-6,Competitor1,1595.46
PO-115A-B2-7000-40-5,Competitor1,733.05
PO-115A-B2-7000-40-2,Competitor1,773.05
PO-115A-A0-750-40-4,Competitor1,372.15
PO-115A-A0-750-40-2,Competitor1,382.77
PO-115A-A0-750-40-1,Competitor1,429.3
PO-115A-A1-750-40-4,Competitor1,168.12
PO-115A-A1-750-40-2,Competitor1,181.12
PO-115A-A1-750-40-1,Competitor1,211.32
PO-115A-A2-750-40-4,Competitor1,94.58
PO-115A-A2-750-40-2,Competitor1,104.58
PO-115A-A2-750-40-1,Competitor1,127.18
PO-115A-A3-750-40-4,Competitor1,52.46
PO-115A-A3-750-40-2,Competitor1,62.46
PO-115A-A3-750-40-1,Competitor1,85.06
PO-115A-A4-750-40-5,Competitor1,36.46
PO-115A-A4-750-40-2,Competitor1,46.46
PO-115A-B1-750-40-4,Competitor1,267.59
PO-115A-B1-750-40-2,Competitor1,277.62
PO-115A-B1-750-40-1,Competitor1,316.37
PO-115A-B2-750-40-4,Competitor1,134.63
PO-115A-B2-750-40-2,Competitor1,147.63
PO-115A-B2-750-40-1,Competitor1,177.83
PO-135G-A0-10000-40-9,Competitor1,2714.76
PO-135G-A1-10000-40-5,Competitor1,1396.08
PO-135G-A1-10000-40-2,Competitor1,1493.08
PO-135G-A2-10000-40-5,Competitor1,683.29
PO-135G-A2-10000-40-2,Competitor1,732.29
PO-135G-A3-10000-40-5,Competitor1,337.07
PO-135G-A3-10000-40-2,Competitor1,362.07
PO-135G-A4-10000-40-5,Competitor1,173.49
PO-135G-A4-10000-40-2,Competitor1,189.49
PO-135G-B1-10000-40-6,Competitor1,1945.93
PO-135G-B1-10000-40-4,Competitor1,2072.93
PO-135G-B2-10000-40-5,Competitor1,965.04
PO-135G-B2-10000-40-2,Competitor1,1032.04
PO-135G-A0-1000-40-4,Competitor1,390.8
PO-135G-A0-1000-40-2,Competitor1,404.04
PO-135G-A0-1000-40-1,Competitor1,458.37
PO-135G-A1-1000-40-4,Competitor1,190.05
PO-135G-A1-1000-40-2,Competitor1,206.05
PO-135G-A1-1000-40-1,Competitor1,243.85
PO-135G-A2-1000-40-4,Competitor1,105.86
PO-135G-A2-1000-40-2,Competitor1,118.86
PO-135G-A2-1000-40-1,Competitor1,149.06
PO-135G-A3-1000-40-4,Competitor1,55.51
PO-135G-A3-1000-40-2,Competitor1,65.51
PO-135G-A3-1000-40-1,Competitor1,88.11
PO-135G-A4-1000-40-4,Competitor1,35.57
PO-135G-A4-1000-40-2,Competitor1,45.57
PO-135G-A4-1000-40-1,Competitor1,68.17
PO-135G-B1-1000-40-4,Competitor1,270.85
PO-135G-B1-1000-40-2,Competitor1,289.85
PO-135G-B1-1000-40-1,Competitor1,335.25
PO-135G-B2-1000-40-4,Competitor1,138.62
PO-135G-B2-1000-40-2,Competitor1,151.62
PO-135G-B2-1000-40-1,Competitor1,181.82
PO-135G-A0-100-40-4,Competitor1,146.55
PO-135G-A0-100-40-2,Competitor1,153.31
PO-135G-A0-100-40-1,Competitor1,176.47
PO-135G-A1-100-40-4,Competitor1,77.66
PO-135G-A1-100-40-2,Competitor1,87.66
PO-135G-A1-100-40-1,Competitor1,110.26
PO-135G-A2-100-40-4,Competitor1,47.22
PO-135G-A2-100-40-2,Competitor1,57.22
PO-135G-A2-100-40-1,Competitor1,79.82
PO-135G-A3-100-40-4,Competitor1,32.6
PO-135G-A3-100-40-2,Competitor1,42.6
PO-135G-A3-100-40-1,Competitor1,65.2
PO-135G-A4-100-40-4,Competitor1,23.38
PO-135G-A4-100-40-2,Competitor1,33.38
PO-135G-A4-100-40-1,Competitor1,55.98
PO-135G-B1-100-40-4,Competitor1,102.51
PO-135G-B1-100-40-2,Competitor1,112.51
PO-135G-B1-100-40-1,Competitor1,135.11
PO-135G-B2-100-40-4,Competitor1,59.91
PO-135G-B2-100-40-2,Competitor1,69.91
PO-135G-B2-100-40-1,Competitor1,92.51
PO-135G-A0-1500-40-4,Competitor1,518.6
PO-135G-A0-1500-40-2,Competitor1,534.95
PO-135G-A0-1500-40-1,Competitor1,604.85
PO-135G-A1-1500-40-4,Competitor1,254.31
PO-135G-A1-1500-40-2,Competitor1,273.31
PO-135G-A1-1500-40-1,Competitor1,318.71
PO-135G-A2-1500-40-4,Competitor1,133.5
PO-135G-A2-1500-40-2,Competitor1,146.5
PO-135G-A2-1500-40-1,Competitor1,176.7
PO-135G-A3-1500-40-4,Competitor1,70.76
PO-135G-A3-1500-40-2,Competitor1,80.76
PO-135G-A3-1500-40-1,Competitor1,103.36
PO-135G-A4-1500-40-4,Competitor1,42.55
PO-135G-A4-1500-40-2,Competitor1,52.55
PO-135G-A4-1500-40-1,Competitor1,75.15
PO-135G-B1-1500-40-4,Competitor1,367.24
PO-135G-B1-1500-40-2,Competitor1,392.24
PO-135G-B1-1500-40-1,Competitor1,452.84
PO-135G-B2-1500-40-4,Competitor1,185.01
PO-135G-B2-1500-40-2,Competitor1,201.01
PO-135G-B2-1500-40-1,Competitor1,238.81
PO-135G-A0-150-40-4,Competitor1,158.66
PO-135G-A0-150-40-2,Competitor1,165.13
PO-135G-A0-150-40-1,Competitor1,188.29
PO-135G-A1-150-40-4,Competitor1,83.11
PO-135G-A1-150-40-2,Competitor1,93.11
PO-135G-A1-150-40-1,Competitor1,115.71
PO-135G-A2-150-40-4,Competitor1,50.07
PO-135G-A2-150-40-2,Competitor1,60.07
PO-135G-A2-150-40-1,Competitor1,82.67
PO-135G-A3-150-40-4,Competitor1,34.9
PO-135G-A3-150-40-2,Competitor1,44.9
PO-135G-A3-150-40-1,Competitor1,67.5
PO-135G-A4-150-40-4,Competitor1,24.52
PO-135G-A4-150-40-2,Competitor1,34.52
PO-135G-A4-150-40-1,Competitor1,57.12
PO-135G-B1-150-40-4,Competitor1,110.14
PO-135G-B1-150-40-2,Competitor1,120.14
PO-135G-B1-150-40-1,Competitor1,142.74
PO-135G-B2-150-40-4,Competitor1,63.83
PO-135G-B2-150-40-2,Competitor1,73.83
PO-135G-B2-150-40-1,Competitor1,96.43
PO-135G-A0-2000-40-4,Competitor1,645.34
PO-135G-A0-2000-40-2,Competitor1,667.9
PO-135G-A0-2000-40-1,Competitor1,761.18
PO-135G-A1-2000-40-4,Competitor1,314.55
PO-135G-A1-2000-40-2,Competitor1,336.55
PO-135G-A1-2000-40-1,Competitor1,389.55
PO-135G-A2-2000-40-4,Competitor1,165.67
PO-135G-A2-2000-40-2,Competitor1,181.67
PO-135G-A2-2000-40-1,Competitor1,219.47
PO-135G-A3-2000-40-4,Competitor1,93.28
PO-135G-A3-2000-40-2,Competitor1,106.28
PO-135G-A3-2000-40-1,Competitor1,136.48
PO-135G-A4-2000-40-4,Competitor1,49.18
PO-135G-A4-2000-40-2,Competitor1,59.18
PO-135G-A4-2000-40-1,Competitor1,81.78
PO-135G-B1-2000-40-4,Competitor1,458.46
PO-135G-B1-2000-40-2,Competitor1,489.46
PO-135G-B1-2000-40-1,Competitor1,565.26
PO-135G-B2-2000-40-4,Competitor1,231.85
PO-135G-B2-2000-40-2,Competitor1,250.85
PO-135G-B2-2000-40-1,Competitor1,296.25
PO-135G-A0-200-40-4,Competitor1,169.83
PO-135G-A0-200-40-2,Competitor1,176.03
PO-135G-A0-200-40-1,Competitor1,199.2
PO-135G-A1-200-40-4,Competitor1,88.66
PO-135G-A1-200-40-2,Competitor1,98.66
PO-135G-A1-200-40-1,Competitor1,121.26
PO-135G-A2-200-40-4,Competitor1,52.74
PO-135G-A2-200-40-2,Competitor1,62.74
PO-135G-A2-200-40-1,Competitor1,85.34
PO-135G-A3-200-40-4,Competitor1,35.6
PO-135G-A3-200-40-2,Competitor1,45.6
PO-135G-A3-200-40-1,Competitor1,68.2
PO-135G-A4-200-40-4,Competitor1,25.23
PO-135G-A4-200-40-2,Competitor1,35.23
PO-135G-A4-200-40-1,Competitor1,57.83
PO-135G-B1-200-40-4,Competitor1,117.55
PO-135G-B1-200-40-2,Competitor1,127.55
PO-135G-B1-200-40-1,Competitor1,150.15
PO-135G-B2-200-40-4,Competitor1,67.81
PO-135G-B2-200-40-2,Competitor1,77.81
PO-135G-B2-200-40-1,Competitor1,100.41
PO-135G-A0-2500-40-4,Competitor1,791.69
PO-135G-A0-2500-40-2,Competitor1,816.91
PO-135G-A0-2500-40-1,Competitor1,925.77
PO-135G-A1-2500-40-4,Competitor1,378.27
PO-135G-A1-2500-40-2,Competitor1,403.27
PO-135G-A1-2500-40-1,Competitor1,463.87
PO-135G-A2-2500-40-4,Competitor1,201.34
PO-135G-A2-2500-40-2,Competitor1,220.34
PO-135G-A2-2500-40-1,Competitor1,265.74
PO-135G-A3-2500-40-4,Competitor1,107.92
PO-135G-A3-2500-40-2,Competitor1,120.92
PO-135G-A3-2500-40-1,Competitor1,151.12
PO-135G-A4-2500-40-4,Competitor1,57.63
PO-135G-A4-2500-40-2,Competitor1,67.63
PO-135G-A4-2500-40-1,Competitor1,90.23
PO-135G-B1-2500-40-4,Competitor1,554.12
PO-135G-B1-2500-40-2,Competitor1,591.12
PO-135G-B1-2500-40-1,Competitor1,682.12
PO-135G-B2-2500-40-4,Competitor1,280.25
PO-135G-B2-2500-40-2,Competitor1,302.25
PO-135G-B2-2500-40-1,Competitor1,355.25
PO-135G-A0-250-40-4,Competitor1,190.3
PO-135G-A0-250-40-2,Competitor1,199.1
PO-135G-A0-250-40-1,Competitor1,230.05
PO-135G-A1-250-40-4,Competitor1,93.86
PO-135G-A1-250-40-2,Competitor1,103.86
