sku,salesprice_currency,supplier_currency,supplier_price,Production_days,supplier_price_salescountry,carrier_cost,carrier_currency,carrier_days,extra_days,carrier_cost_salescountry,@Quantity,@Turnaround,@Material,@Size,supplier_currency_original,supplier,carrier
PO-135G-A3-250-40-4,EUR,EUR,11,2,11,3.68,EUR,1,1,3.68,250,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A1-100-40-2,EUR,EUR,50.95,0,50.95,0,EUR,2,0,0,100,2 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A1-50-40-2,EUR,EUR,61,1,61,3.68,EUR,1,0,3.68,50,2 days,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-250-40-4,EUR,EUR,63.91,1,63.91,0,EUR,2,1,0,250,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-50-40-2,EUR,EUR,3.8,1,3.8,3.68,EUR,1,0,3.68,50,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-500-40-4,EUR,EUR,58.81,1,58.81,0,EUR,2,1,0,500,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-200-40-4,EUR,EUR,38.5,2,38.5,3.68,EUR,1,1,3.68,200,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-150-40-4,EUR,EUR,29.5,2,29.5,3.68,EUR,1,1,3.68,150,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-250-40-2,EUR,EUR,38,0,38,0,EUR,2,0,0,250,2 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-100-40-2,EUR,EUR,5.6,1,5.6,3.68,EUR,1,0,3.68,100,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A0-100-40-4,EUR,EUR,119,2,119,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A2-25-40-4,EUR,EUR,7,2,7,3.68,EUR,1,1,3.68,25,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A0-100-40-1,EUR,EUR,119,0,119,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A2-10-40-4,EUR,EUR,4.3,2,4.3,3.68,EUR,1,1,3.68,10,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-B1-100-40-1,EUR,EUR,82.5,0,82.5,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-200-40-1,EUR,EUR,38.5,0,38.5,3.68,EUR,1,0,3.68,200,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-25-40-4,EUR,EUR,2.9,2,2.9,3.68,EUR,1,1,3.68,25,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-200-40-4,EUR,EUR,9.2,2,9.2,3.68,EUR,1,1,3.68,200,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-150-40-1,EUR,EUR,29.5,0,29.5,3.68,EUR,1,0,3.68,150,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A0-50-40-4,EUR,EUR,109.63,2,109.63,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A3-250-40-1,EUR,EUR,25.4,0,25.4,3.68,EUR,1,0,3.68,250,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A3-200-40-1,EUR,EUR,20.52,0,20.52,3.68,EUR,1,0,3.68,200,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-B1-100-40-4,EUR,EUR,75,2,75,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-500-40-2,EUR,EUR,58.81,0,58.81,0,EUR,2,0,0,500,2 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-25-40-1,EUR,EUR,7,0,7,3.68,EUR,1,0,3.68,25,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-150-40-2,EUR,EUR,29.5,0,29.5,3.68,EUR,1,1,3.68,150,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-150-40-1,EUR,EUR,15.64,0,15.64,3.68,EUR,1,0,3.68,150,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A1-1-40-4,EUR,EUR,2.95,2,2.95,3.68,EUR,1,1,3.68,1,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A2-1000-40-4,EUR,EUR,83.03,1,83.03,0,EUR,2,1,0,1000,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-20-40-4,EUR,EUR,6.1,2,6.1,3.68,EUR,1,1,3.68,20,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-300-40-4,EUR,EUR,52.93,1,52.93,0,EUR,2,1,0,300,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-20-40-4,EUR,EUR,2.47,2,2.47,3.68,EUR,1,1,3.68,20,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-200-40-2,EUR,EUR,38.5,0,38.5,3.68,EUR,1,1,3.68,200,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-500-40-4,EUR,EUR,19.5,2,19.5,3.68,EUR,1,1,3.68,500,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-10-40-4,EUR,EUR,2,2,2,3.68,EUR,1,1,3.68,10,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A1-250-40-2,EUR,EUR,63.91,0,63.91,0,EUR,2,0,0,250,2 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-300-40-1,EUR,EUR,56.5,0,56.5,3.68,EUR,1,0,3.68,300,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A0-1-40-4,EUR,EUR,4.75,2,4.75,3.68,EUR,1,1,3.68,1,4 days,135g Gloss,A0,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A1-50-40-1,EUR,EUR,67.1,0,67.1,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-25-40-1,EUR,EUR,3.44,0,3.44,3.68,EUR,1,0,3.68,25,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A0-100-40-2,EUR,EUR,119,0,119,3.68,EUR,1,1,3.68,100,2 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-B2-100-40-4,EUR,EUR,20,2,20,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A1-2-40-4,EUR,EUR,4.45,2,4.45,3.68,EUR,1,1,3.68,2,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A3-150-40-4,EUR,EUR,7.4,2,7.4,3.68,EUR,1,1,3.68,150,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A1-200-40-1,EUR,EUR,86.9,0,86.9,6.8,EUR,1,0,6.8,200,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A0-1-40-1,EUR,EUR,5.75,0,5.75,3.68,EUR,1,0,3.68,1,1 day,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-135G-A1-500-40-4,EUR,EUR,106.89,1,106.89,0,EUR,2,1,0,500,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A1-1-40-5,EUR,EUR,5.86,3,5.86,3.68,EUR,1,1,3.68,1,5 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-135G-A3-500-40-1,EUR,EUR,44.73,0,44.73,3.68,EUR,1,0,3.68,500,1 day,135g Gloss,A3,EUR,Control Media,TNT-AVG
PO-135G-A2-10-40-1,EUR,EUR,4.3,0,4.3,3.68,EUR,1,0,3.68,10,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-500-40-1,EUR,EUR,89.65,0,89.65,3.68,EUR,1,0,3.68,500,1 day,135g Gloss,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-25-40-2,EUR,EUR,7,0,7,3.68,EUR,1,1,3.68,25,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-B1-50-40-4,EUR,EUR,68,2,68,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-2-40-1,EUR,EUR,5.4,0,5.4,3.68,EUR,1,0,3.68,2,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-135G-A1-1-40-1,EUR,EUR,3.95,0,3.95,3.68,EUR,1,0,3.68,1,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-135G-B1-250-40-1,EUR,EUR,105.6,0,105.6,9.92,EUR,1,0,9.92,250,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A4-50-40-4,EUR,EUR,2.9,2,2.9,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B1-1000-40-1,EUR,EUR,221.1,0,221.1,31.76,EUR,1,0,31.76,1000,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-750-40-4,EUR,EUR,70.92,1,70.92,0,EUR,2,1,0,750,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A1-150-40-4,EUR,EUR,77.83,1,77.83,0,EUR,2,1,0,150,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-B1-500-40-4,EUR,EUR,122.42,2,122.42,0,EUR,2,0,0,500,4 days,135g Gloss,B1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A0-50-40-1,EUR,EUR,109.63,0,109.63,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-B1-50-40-1,EUR,EUR,74.8,0,74.8,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-20-40-1,EUR,EUR,6.1,0,6.1,3.68,EUR,1,0,3.68,20,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-400-40-4,EUR,EUR,55.86,1,55.86,0,EUR,2,1,0,400,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A0-150-40-4,EUR,EUR,128.38,2,128.38,6.8,EUR,1,1,6.8,150,4 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A1-500-40-1,EUR,EUR,126.5,0,126.5,16.16,EUR,1,0,16.16,500,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-100-40-1,EUR,EUR,73.7,0,73.7,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-750-40-4,EUR,EUR,130.15,1,130.15,0,EUR,2,1,0,750,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A0-50-40-4,EUR,EUR,114,2,114,3.68,EUR,1,1,3.68,50,4 days,115g Blue back,A0,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-20-40-2,EUR,EUR,6.1,0,6.1,3.68,EUR,1,1,3.68,20,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A1-150-40-1,EUR,EUR,80.3,0,80.3,6.8,EUR,1,0,6.8,150,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-200-40-4,EUR,EUR,80.73,1,80.73,0,EUR,2,1,0,200,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A0-2-40-4,EUR,EUR,7.75,2,7.75,3.68,EUR,1,1,3.68,2,4 days,135g Gloss,A0,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A1-150-40-2,EUR,EUR,77.83,0,77.83,0,EUR,2,0,0,150,2 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-25-40-2,EUR,EUR,2.9,1,2.9,3.68,EUR,1,0,3.68,25,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-115A-A0-50-40-1,EUR,EUR,119.08,0,119.08,3.68,EUR,1,0,3.68,50,1 day,115g Blue back,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A2-5-40-4,EUR,EUR,3.4,2,3.4,3.68,EUR,1,1,3.68,5,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A4-100-40-1,EUR,EUR,5.88,0,5.88,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,A4,EUR,RPI print,TNT-AVG
PO-135G-A0-2-40-1,EUR,EUR,8.3,0,8.3,3.68,EUR,1,0,3.68,2,1 day,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-135G-A2-1-40-4,EUR,EUR,2.68,2,2.68,3.68,EUR,1,1,3.68,1,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-B1-1500-40-4,EUR,EUR,239.39,2,239.39,0,EUR,2,0,0,1500,4 days,135g Gloss,B1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A4-50-40-1,EUR,EUR,3.44,0,3.44,3.68,EUR,1,0,3.68,50,1 day,135g Gloss,A4,EUR,RPI print,TNT-AVG
PO-135G-A2-15-40-4,EUR,EUR,5.2,2,5.2,3.68,EUR,1,1,3.68,15,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A4-100-40-4,EUR,EUR,3.8,2,3.8,3.68,EUR,1,1,3.68,100,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-10-40-1,EUR,EUR,2.5,0,2.5,3.68,EUR,1,0,3.68,10,1 day,135g Gloss,A3,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-150-40-2,EUR,EUR,7.4,1,7.4,3.68,EUR,1,0,3.68,150,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B1-100-40-2,EUR,EUR,75,1,75,3.68,EUR,1,0,3.68,100,2 days,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-500-40-2,EUR,EUR,19.5,1,19.5,3.68,EUR,1,0,3.68,500,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-CF-A1-2-40-5,EUR,EUR,10.73,3,10.73,3.68,EUR,1,1,3.68,2,5 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-135G-A3-1000-40-4,EUR,EUR,37,2,37,6.8,EUR,1,1,6.8,1000,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B1-50-40-2,EUR,EUR,68,1,68,3.68,EUR,1,0,3.68,50,2 days,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-400-40-1,EUR,EUR,74.5,0,74.5,3.68,EUR,1,0,3.68,400,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-1000-40-1,EUR,EUR,150.15,0,150.15,6.8,EUR,1,0,6.8,1000,1 day,135g Gloss,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-250-40-1,EUR,EUR,93.5,0,93.5,9.92,EUR,1,0,9.92,250,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A0-50-40-2,EUR,EUR,109.63,0,109.63,3.68,EUR,1,1,3.68,50,2 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A2-1-40-1,EUR,EUR,2.68,0,2.68,3.68,EUR,1,0,3.68,1,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-B1-150-40-1,EUR,EUR,90.2,0,90.2,6.8,EUR,1,0,6.8,150,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-200-40-2,EUR,EUR,9.2,1,9.2,3.68,EUR,1,0,3.68,200,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-1000-40-2,EUR,EUR,83.03,0,83.03,0,EUR,2,0,0,1000,2 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-20-40-1,EUR,EUR,3.5,0,3.5,3.68,EUR,1,0,3.68,20,1 day,135g Gloss,A3,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A1-10-40-1,EUR,EUR,17,0,17,3.68,EUR,1,0,3.68,10,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-135G-B1-250-40-2,EUR,EUR,96,1,96,9.92,EUR,1,0,9.92,250,2 days,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-B2-50-40-4,EUR,EUR,10.5,2,10.5,3.68,EUR,1,1,3.68,50,4 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-B2-100-40-1,EUR,EUR,20,0,20,3.68,EUR,1,0,3.68,100,1 day,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A2-350-40-4,EUR,EUR,54.4,1,54.4,0,EUR,2,1,0,350,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-300-40-1,EUR,EUR,30.28,0,30.28,3.68,EUR,1,0,3.68,300,1 day,135g Gloss,A3,EUR,RPI print,TNT-AVG
PO-135G-A0-150-40-1,EUR,EUR,128.38,0,128.38,6.8,EUR,1,0,6.8,150,1 day,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-115A-A0-100-40-4,EUR,EUR,128.25,2,128.25,3.68,EUR,1,1,3.68,100,4 days,115g Blue back,A0,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-300-40-4,EUR,EUR,19.5,2,19.5,3.68,EUR,1,1,3.68,300,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B1-250-40-4,EUR,EUR,93.17,2,93.17,0,EUR,2,0,0,250,4 days,135g Gloss,B1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A0-100-40-1,EUR,EUR,128.9,0,128.9,3.68,EUR,1,0,3.68,100,1 day,115g Blue back,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A3-15-40-4,EUR,EUR,2.47,2,2.47,3.68,EUR,1,1,3.68,15,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A4-150-40-1,EUR,EUR,8.32,0,8.32,3.68,EUR,1,0,3.68,150,1 day,135g Gloss,A4,EUR,RPI print,TNT-AVG
PO-135G-A0-200-40-2,EUR,EUR,137.75,0,137.75,6.8,EUR,1,1,6.8,200,2 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A1-10-40-4,EUR,EUR,16.45,2,16.45,3.68,EUR,1,1,3.68,10,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A1-200-40-2,EUR,EUR,80.73,0,80.73,0,EUR,2,0,0,200,2 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-B1-1-40-4,EUR,EUR,3.5,2,3.5,3.68,EUR,1,1,3.68,1,4 days,135g Gloss,B1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A2-300-40-2,EUR,EUR,52.93,0,52.93,0,EUR,2,0,0,300,2 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-15-40-1,EUR,EUR,5.2,0,5.2,3.68,EUR,1,0,3.68,15,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A1-1000-40-4,EUR,EUR,153.42,1,153.42,0,EUR,2,1,0,1000,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-2-40-1,EUR,EUR,2.86,0,2.86,3.68,EUR,1,0,3.68,2,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A4-250-40-4,EUR,EUR,6.5,2,6.5,3.68,EUR,1,1,3.68,250,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-2-40-4,EUR,EUR,2.86,2,2.86,3.68,EUR,1,1,3.68,2,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A2-750-40-1,EUR,EUR,119.9,0,119.9,6.8,EUR,1,0,6.8,750,1 day,135g Gloss,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-300-40-1,EUR,EUR,100.1,0,100.1,9.92,EUR,1,0,9.92,300,1 day,135g Gloss,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-B1-2-40-4,EUR,EUR,5.6,2,5.6,3.68,EUR,1,1,3.68,2,4 days,135g Gloss,B1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A0-1000-40-2,EUR,EUR,287.75,0,287.75,31.76,EUR,1,1,31.76,1000,2 days,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A1-5-40-4,EUR,EUR,8.95,2,8.95,3.68,EUR,1,1,3.68,5,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A1-20-40-4,EUR,EUR,31.45,2,31.45,3.68,EUR,1,1,3.68,20,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-115A-A0-100-40-2,EUR,EUR,128.25,1,128.25,3.68,EUR,1,0,3.68,100,2 days,115g Blue back,A0,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-B2-1-40-4,EUR,EUR,2.75,2,2.75,3.68,EUR,1,1,3.68,1,4 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A2-10-40-2,EUR,EUR,4.3,0,4.3,3.68,EUR,1,1,3.68,10,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A1-25-40-2,EUR,EUR,38.75,0,38.75,3.68,EUR,1,1,3.68,25,2 days,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-135G-A0-4-40-1,EUR,EUR,13.4,0,13.4,3.68,EUR,1,0,3.68,4,1 day,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-135G-A3-10-40-2,EUR,EUR,2,1,2,3.68,EUR,1,0,3.68,10,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-15-40-2,EUR,EUR,5.2,0,5.2,3.68,EUR,1,1,3.68,15,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A1-15-40-1,EUR,EUR,24.25,0,24.25,3.68,EUR,1,0,3.68,15,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-135G-A2-1500-40-4,EUR,EUR,107.26,1,107.26,0,EUR,2,1,0,1500,4 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A0-200-40-1,EUR,EUR,137.75,0,137.75,6.8,EUR,1,0,6.8,200,1 day,135g Gloss,A0,EUR,Verenigde Offset Bedrijven,TNT-AVG
PO-135G-A1-4-40-1,EUR,EUR,8.3,0,8.3,3.68,EUR,1,0,3.68,4,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
